units = {
	### Naval OOB ###
	fleet = {	
		name = "Home Fleet"
		naval_base = 9458
		task_force = {
			ship = { name = "HMS Onyx (S21)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Porpoise (S01)" definition = sub_hull_large_single equipment = { attack_submarine_0 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Sealion (S07)" definition = sub_hull_large_single equipment = { attack_submarine_0 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Walrus (S08)" definition = sub_hull_large_single equipment = { attack_submarine_0 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Resolution (S22)" definition = sub_hull_large_double equipment = { ballistic_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Repulse (S23)" definition = sub_hull_large_double equipment = { ballistic_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Renown (S26)" definition = sub_hull_large_double equipment = { ballistic_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Revenge (S27)" definition = sub_hull_large_double equipment = { ballistic_submarine_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Dreadnought (S101)" definition = sub_hull_large_double equipment = { sub_hull_large_double_0 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Swiftsure (S126)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Sovereign (S108)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Superb (S109)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Sceptre (S104)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Spartan (S105)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Splendid (S106)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Churchill (S46)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Conqueror (S48)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Courageous (S50)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Valiant (S102)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Warspite (S103)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
		}
	}
}
