units = {

	### Naval OOB ###
fleet = {				
		name = "Reserve Fleet"						
		naval_base = 540
		task_force = {
			name = "Reserve Fleet"						
			location = 540 # Plymouth
			ship = { name = "HMS Undine" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Ursa" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Urchin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Urania" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Vigilant" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Volage" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Zambesi" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Zebra" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Caprice" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Caesar" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cavendish" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cambrian" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Carron" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cavalier" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Carysfort" definition = destroyer equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Barfleur" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Trafalgar" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Camperdown" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Hogue" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }	
			ship = { name = "HMS Lagos" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Gravelines" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }	
			ship = { name = "HMS Matapan" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }	
			ship = { name = "HMS Corunna" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Dunkirk" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Jutland" definition = destroyer equipment = { destroyer_3 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Craggie" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Gorm" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Killin" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Quoich" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Ruthven" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Scavaig" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Tarbert" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Torridon" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Tralaig" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Loch Veyatie" definition = frigate equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Carnarvon Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cawsand Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Enard Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Largo Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Padstow Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Start Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Wigtown Bay" definition = frigate equipment = { frigate_2 = { amount = 1 owner = ENG } } }
		}
	}
}
