Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
,,1980,Second Generation Main Battle Tank Hull,Second Generation Main Battle Tank Hull,Second Generation Main Battle Tank Hull,MBT Hull III,MBT_Hull_6,1.4000000000000004,0.8,,,,,30,,5,,60,,,,8,,,,,,,,,,,9.5,,,,3,,,,,,
,,1990,Second+ Generation Main Battle Tank Hull,Second+ Generation Main Battle Tank Hull,Second+ Generation Main Battle Tank Hull,MBT Hull IV,MBT_Hull_7,1.4500000000000004,0.8,,,,,30,,5,,65,,,,8.5,,,,,,,,,,,10.25,,,,3,,,,,,
,,2000,Third Generation Main Battle Tank Hull,Third Generation Main Battle Tank Hull,Third Generation Main Battle Tank Hull,MBT Hull V,MBT_Hull_8,1.5000000000000004,0.8,,,,,30,,5,,70,,,,9,,,,,,,,,,,11,,,,3,,,,,,
,,2010,Third+ Generation Main Battle Tank Hull,Third+ Generation Main Battle Tank Hull,Third+ Generation Main Battle Tank Hull,MBT Hull VI,MBT_Hull_9,1.5500000000000005,0.8,,,,,30,,5,,75,,,,9.5,,,,,,,,,,,11.75,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy Hull [DONE],1939,Early World War 2 Heavy Hull,Early World War 2 Heavy Hull,Early World War 2 Heavy Hull,Heavy Hull I,Heavy_Hull_0,1.2,0.85,,,,,35,,4,,45,,,,4,,,,,,,,,,,9,,,,3,,,,,,
,,1942,Mid-World War 2 Heavy Hull,Mid-World War 2 Heavy Hull,Mid-World War 2 Heavy Hull,Heavy Hull II,Heavy_Hull_1,1.25,0.85,,,,,35,,4,,50,,,,4.5,,,,,,,,,,,10,,,,3,,,,,,
,,1944,Late World War 2 Heavy Hull,Late World War 2 Heavy Hull,Late World War 2 Heavy Hull,Heavy Hull III,Heavy_Hull_2,1.3,0.85,,,,,35,,4,,55,,,,5,,,,,,,,,,,11,,,,3,,,,,,
,,1950,Post-World War 2 Heavy Hull,Post-World War 2 Heavy Hull,Post-World War 2 Heavy Hull,Heavy Hull IV,Heavy_Hull_3,1.35,0.85,,,,,35,,4,,60,,,,5.5,,,,,,,,,,,12,,,,4,,,,,,
,,1955,Early Cold War Heavy Hull,Early Cold War Heavy Hull,Early Cold War Heavy Hull,Heavy Hull V,Heavy_Hull_4,1.4000000000000001,0.85,,,,,35,,4,,65,,,,6,,,,,,,,,,,13,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Protection,Armor [DONE],1939,Welded Armor,Base,Welded Armor,Welded Armor,Armor_0_W,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,5,,2,,,,,,
,,1939,Cast Armor,Base,Cast Armor,Cast Armor,Armor_0_C,,0.02,,,,,1.75,,1.75,,,-0.1,,,,,,,,,,,,,,-1.5,-0.1,6,,2,,,,,,
,,1955,Spaced Armor,Early Composite Armor,Spaced Armor,Spaced Armor,Armor_1_Space,,,,,,,2.25,,2.25,,,0.25,,,0.2,,,,,,,,,,,1.5,,5.5,,2,,,,,,
,,1955,Early Composite Armor,Early Composite Armor,Composite Armor I,Composite Armor I,Armor_1_Comp,-0.05,,,,,,2.5,,2.5,,,0.5,,,-0.4,,,,,,,,,,,2,,6.5,,1,1,,,,,
,,1965,Advanced Composite Armor,Advanced Composite Armor,Composite Armor II,Composite Armor II,Armor_2_Comp,,,,,,,3,,3,,,0.75,,,-0.4,,,,,,,,,,,2.5,,6,,1,1,,,,,
,,1975,First Generation NERA,First Generation NERA,First Generation NERA,NERA I,Armor_3,,,,,,,3.5,,3.5,,,1,,,-0.60000000000000009,,,,,,,,,,,3,,5.5,,2,1,,,,,
,,1985,Second Generation NERA,Second Generation NERA,Second Generation NERA,NERA II,Armor_4,,,,,,,4,,4,,,1.25,,,-0.8,,,,,,,,,,,3.5,,5,,3,1,,,,,
,,1995,Third Generation NERA,Third Generation NERA,Third Generation NERA,NERA III,Armor_5,,,,,,,4.5,,4.5,,,1.5,,,-1,,,,,,,,,,,4,,4.5,,3,1,,,,,
,,2010,Fourth Generation NERA,Fourth Generation NERA,Fourth Generation NERA,NERA IV,Armor_6,,,,,,,5,,5,,,1.75,,,-1.2,,,,,,,,,,,4.5,,4,,3,1,,,,,
,,1985,Second Generation Depleted Uranium NERA,Second Generation Depleted Uranium NERA,Second Generation Depleted Uranium NERA,DU NERA II,Armor_4_DU,,,,,,,3.75,,3.75,,,1.35,,,-0.90000000000000013,,,,,,,,,,,3.75,,5.5,,3,1,,,,,
,,1995,Third Generation Depleted Uranium NERA,Third Generation Depleted Uranium NERA,Third Generation Depleted Uranium NERA,DU NERA III,Armor_5_DU,,,,,,,4.5,,4.5,,,1.6,,,-1.2000000000000002,,,,,,,,,,,4.5,,5,,3,1,,,,,
,,2010,Fourth Generation Depleted Uranium NERA,Fourth Generation Depleted Uranium NERA,Fourth Generation Depleted Uranium NERA,DU NERA IV,Armor_6_DU,,,,,,,5.25,,5.25,,,1.85,,,-1.5000000000000002,,,,,,,,,,,5.25,,4.5,,3,1,,,,,
,,1955,Early Aluminum Alloy Armor,Early Aluminum Alloy Armor,Early Aluminum Alloy Armor,Aluminum Armor I,Armor_0_Light,0.1,2.5000000000000001E-2,,,,,1.5,,1.5,,,-0.15,,,2,,,,,,,,,,,1,,2,,,2,,,,,
,,1965,Advanced Aluminum Alloy Armor,Advanced Aluminum Alloy Armor,Advanced Aluminum Alloy Armor,Aluminum Armor II,Armor_1_Light,0.1,0.05,,,,,1.75,,1.75,,,-9.9999999999999992E-2,,,1.5,,,,,,,,,,,1.5,,2.5,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add-on Armor [DONE],1965,Add-On Combined Armor,Advanced Composite Armor,,Add-On Combined Armor,Addon_0_Comb,,,,,,,1,,1,,,0.2,,,-0.2,,,,,,,,,,,1.5,,0.1,,1,,,,,,
,,1975,First Generation Add-On NERA,First Generation NERA,,Add-On NERA I,Addon_1_NERA,,,,,,,1.5,,1.5,,,0.30000000000000004,,,-0.30000000000000004,,,,,,,,,,,1.75,,0.1,,1,,,,,,
,,1985,Second Generation Add-On NERA,Second Generation NERA,,Add-On NERA II,Addon_2_NERA,,,,,,,2,,2,,,0.4,,,-0.4,,,,,,,,,,,2,,0.1,,1,,,,,,
,,1995,Third Generation Add-On NERA,Third Generation NERA,,Add-On NERA III,Addon_3_NERA,,,,,,,2.5,,2.5,,,0.5,,,-0.5,,,,,,,,,,,2.25,,0.1,,1,,,,,,
,,2010,Fourth Generation Add-On NERA,Fourth Generation NERA,,Add-On NERA IV,Addon_4_NERA,,,,,,,3,,3,,,0.6,,,-0.6,,,,,,,,,,,2.5,,0.1,,1,,,,,,
,,1995,Light Add-on Composites,Light Add-on Composites,,Add-on Composites I,Addon_0_CE,,0.05,,,,,0.5,,0.5,,20,0.25,,,-0.2,,,,,,,,,,,1.25,,0.1,,,1,,,,,
,,2005,Advanced Light Add-on Composites,Advanced Light Add-on Composites,,Add-on Composites II,Addon_1_CE,,7.5000000000000011E-2,,,,,1,,1,,30,0.3,,,-0.25,,,,,,,,,,,1.75,,0.1,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ERA [DONE],1975,First Generation ERA,First Generation ERA,,ERA I,ERA_0,,,,,,,3,,1.5,,,0.05,,,-0.1,,,,,,,,,,,1,,0.05,,,,,,,,
,,1985,Second Generation ERA,Second Generation ERA,,ERA II,ERA_1,,,,,,,6,,3,,,0.15000000000000002,,,-0.2,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,1985,ERA for Light Armored Vehicles,Second Generation ERA,,LAFV ERA,ERA_L,,,,,,,7,,3.5,,,0.2,,,-0.4,,,,,,,,,,,1.5,,0.05,,,,,,,,
,,2005,Third Generation ERA,Third Generation ERA,,ERA III,ERA_2,,,,,,,9,,4.5,,,0.25,,,-0.30000000000000004,,,,,,,,,,,2.5,,0.05,,,,,,,,
,,2015,Fourth Generation ERA,Fourth Generation ERA,,ERA IV,ERA_3,,,,,,,12,,6,,,0.35,,,-0.4,,,,,,,,,,,3.25,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smoke [DONE],1939,Smoke Grenade Dischargers,Smoke Grenade Dischargers,,Smoke Dischargers I,Smoke_0,,,,,,,1.5,,2.5,,,,,,,,,,,,,,,,,0.5,,0.05,,,,,,,,
,,1944,Engine Smoke Generator System,Engine Smoke Generator System,,ESS,Smoke_ESS,,,,,,,5,,,,,,,,,,,,,,,0.25,,,,1,,0.2,,,,,,,,
,,1975,Improved Smoke Grenade Dischargers,Improved Smoke Grenade Dischargers,,Smoke Dischargers II,Smoke_1,,,,,,,3.5,,5,,,,,,,,,,,,,,,,,1.25,,0.05,,,,,,,,
,,1985,IR Smoke Grenade Dischargers,IR Smoke Grenade Dischargers,,Smoke Dischargers III,Smoke_2,,,,,,,5.5,,8,,,,,,,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,1995,Multi-Spectral Smoke Grenade Dischargers,Multi-Spectral Smoke Grenade Dischargers,,Smoke Dischargers IV,Smoke_3,,,,,,,7.5,,11,,,,,,,,,,,,,,,,,2.25,,0.05,,,,,,,,
,,2015,Smart Smoke Grenade Dischargers,Smart Smoke Grenade Dischargers,,Smoke Dischargers V,Smoke_4,,,,,,,9.5,,14,,,,,,,,,,,,,,,,,2.75,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active Protection Systems [DONE],1980,Early Hard-Kill Active Protection Systems,Early Hard-Kill Active Protection Systems,,Hard-Kill APS I,APS_0_H,-0.04,,,,,,6,,3,,,,,,,,,,,,,0.15,,,,5,,0.2,,,,1,,,,
,,1990,Advanced Hard-Kill Active Protection Systems,Advanced Hard-Kill Active Protection Systems,,Hard-Kill APS II,APS_1_H,-3.5000000000000003E-2,,,,,,9.5,,4.75,,,,,,,,,,,,,0.25,,,,5.5,,0.25,,,,1,,,,
,,2005,Modern Hard-Kill Active Protection Systems,Modern Hard-Kill Active Protection Systems,,Hard-Kill APS III,APS_2_H,-3.0000000000000002E-2,,,,,,13,,6.5,,,,,,,,,,,,,0.35,,,,6,,0.3,,,,2,,,,
,,2015,Advanced Modern Hard-Kill Active Protection Systems,Advanced Modern Hard-Kill Active Protection Systems,,Hard-Kill APS IV,APS_3_H,-2.5000000000000001E-2,,,,,,16.5,,8.25,,,,,,,,,,,,,0.44999999999999996,,,,6.5,,0.35,,,,2,,,,
,,1990,Early Soft-Kill Active Protection Systems,Early Soft-Kill Active Protection Systems,,Soft-Kill APS I,APS_0_S,,,,,,,2,0.05,4,0.05,,,,,,,,,,,,0.15,,,,1.5,,0.1,,,,1,,,,
,,2010,Advanced Soft-Kill Active Protection Systems,Advanced Soft-Kill Active Protection Systems,,Soft-Kill APS II,APS_1_S,,,,,,,4,0.1,8,0.1,,,,,,,,,,,,0.35,,,,3,,0.2,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Fighting Systems [DONE],1942,Semi-Automatic Fire Fighting System,Semi-Automatic Fire Fighting System,,FFS I,FFS_0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.1,,,,,,,,
,,1950,Automatic Fire Fighting System,Automatic Fire Fighting System,,FFS II,FFS_1,7.5000000000000011E-2,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.15000000000000002,,,,,,,,
,,1975,Digital Automatic Fire Fighting System,Digital Automatic Fire Fighting System,,FFS III,FFS_2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
FCS & Autoloaders,Autoloaders [DONE],1942,Gun Rammer,Gun Rammer,,Gun Rammer,Loader_0_Rammer,-0.02,,,2.5000000000000001E-2,,2.5000000000000001E-2,3,,1,,,,,,,,,,,,0.02,,,,,1,,0.1,,,,,,,,
,,1944,Mechanised Ammo Rack,Mechanised Ammo Rack,,Mech Ammo Rack,Loader_1_Mech_Ammo,-0.04,,,0.05,,0.05,5,,2,,,,,,,,,,,,0.04,0.1,,,,2,,0.4,,,,,,,,
,,1950,Drum Loading Mechanism,Drum Loading Mechanism,,Drum Autoloader I,Loader_2a_Drum,-0.06,,,0.1,,0.1,4,,4,,,-0.05,,,0.25,,,,,,0.06,,,,,3,,0.6,,,,,,,,
,,1995,Advanced Drum Loading Mechanism,Advanced Drum Loading Mechanism,,Drum Autoloader II,Loader_2b_Drum,-0.16,,,0.17499999999999999,,0.17499999999999999,10,,10,,,0.1,,,0.5,,,,,,0.1,0.5,,,,6.5,,0.8,,,,1,,,,
,,1960,Early Carousel Loading Mechanism,Early Carousel Loading Mechanism,,Carousel Autoloader I,Loader_3a_Carousel,-0.2,,,0.1,,0.1,10,,-5,,,0.3,,,1,,,,,,0.08,0.2,,,,4,,1.5,,,,,,,,
,,1970,Modernised Carousel Loading Mechanism,Modernised Carousel Loading Mechanism,,Carousel Autoloader II,Loader_3b_Carousel,-0.17500000000000002,,,7.5000000000000011E-2,,7.5000000000000011E-2,12,,-3,,,0.3,,,1,,,,,,0.08,0.4,,,,4.6500000000000004,,1.5,,,,1,,,,
,,1990,Advanced Carousel Loading Mechanism,Advanced Carousel Loading Mechanism,,Carousel Autoloader III,Loader_3c_Carousel,-0.15000000000000002,,,0.125,,0.125,14,,-1,,,0.3,,,1,,,,,,0.08,0.60000000000000009,,,,5.3000000000000007,,1.5,,,,1,,,,
,,2010,Modern Carousel Loading Mechanism,Modern Carousel Loading Mechanism,,Carousel Autoloader IV,Loader_3d_Carousel,-0.12500000000000003,,,0.15,,0.15,16,,1,,,0.3,,,1,,,,,,0.08,0.8,,,,5.9500000000000011,,1.5,,,,1,,,,
,,1965,Early Conveyor Belt Loading Mechanism,Early Conveyor Belt Loading Mechanism,,Belt Autoloader I,Loader_4a_Belt,-0.15,,,0.125,,0.125,11,,-4,,,0.15,,,0.5,,,,,,0.12,0.35,,,,4.5,,1.2,,,,1,,,,
,,1985,Advanced Conveyor Belt Loading Mechanism,Advanced Conveyor Belt Loading Mechanism,,Belt Autoloader II,Loader_4b_Belt,-0.125,,,0.15,,0.15,14,,-1,,,0.15,,,0.5,,,,,,0.12,0.64999999999999991,,,,5.15,,1.2,,,,1,,,,
,,2005,Modern Conveyor Belt Loading Mechanism,Modern Conveyor Belt Loading Mechanism,,Belt Autoloader III,Loader_4c_Belt,-0.1,,,0.17499999999999999,,0.17499999999999999,17,,2,,,0.15,,,0.5,,,,,,0.12,0.95,,,,5.8000000000000007,,1.2,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artillery-Exclusive Autoloaders [DONE],1965,Artillery Mechanised Ammo Rack,Early Conveyor Belt Loading Mechanism,,Mech Ammo Rack I,Loader_5a_Arty_Mech,-0.1,,,7.4999999999999997E-2,,7.4999999999999997E-2,6,,3,,,,,,,,,,,,0.1,0.15,,,,2.5,,0.9,,,,,,,,
,,1985,Advanced Artillery Mechanised Ammo Rack,Advanced Conveyor Belt Loading Mechanism,,Mech Ammo Rack II,Loader_5b_Arty_Mech,-7.5000000000000011E-2,,,0.1,,0.1,9,,4.5,,,,,,,,,,,,0.1,0.4,,,,3.5,,0.9,,,,1,,,,
,,2005,Modern Artillery Mechanised Ammo Rack,Modern Conveyor Belt Loading Mechanism,,Mech Ammo Rack III,Loader_5c_Arty_Mech,-5.000000000000001E-2,,,0.125,,0.125,12,,6,,,,,,,,,,,,0.1,0.65,,,,4.5,,0.9,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aiming [DONE],1939,Basic Aiming Mechanisms,Base,,Aiming I,Aim_0,,,,,,,1,,0.5,,,,,,,,,,,,,0,,,,0,,0.1,,,,,,,,
,,1942,One-Plane Stabilizer,One-Plane Stabilizer,,Aiming II,Aim_1,-0.05,,,,,,5,0.05,0.5,,,,,,,,,,,,,0.1,,,,1.2,,0.15000000000000002,,,,,,,,
,,1955,Two-Plane Stabilizer,Two-Plane Stabilizer,,Aiming III,Aim_2,-0.05,,,,,,9,0.1,1,,,,,,,,,,,,,0.2,,,,2.4,,0.2,,,,,,,,
,,1970,Computerised Aiming Systems,Computerised Aiming Systems,,Aiming IV,Aim_3,-0.04,,,,,,13,0.15000000000000002,2.5,0.05,,,,,,,,,,,,0.30000000000000004,,,,3.5999999999999996,,0.25,,,,1,,,,
,,1985,Advanced Computerised Aiming Systems,Advanced Computerised Aiming Systems,,Aiming V,Aim_4,-0.03,,,,,,17,0.2,3,0.1,,,,,,,,,,,,0.4,,,,4.8,,0.3,,,,1,,,,
,,2005,Modern Computerised Aiming Systems,Modern Computerised Aiming Systems,,Aiming VI,Aim_5,-0.02,,,,,,21,0.25,3.5,0.15000000000000002,,,,,,,,,,,,0.5,,,,6,,0.35,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aiming SPAAG [DONE],1939,Basic AA Aiming Mechanisms,Base,,AA Aiming I,Aim_AA_0,,,,,,,1,,0.5,,,,,,,,,,,,,0,,,,0.5,,0.1,,,,,,,,
,,1955,Two-Plane AA Stabilizer,Two-Plane Stabilizer,,AA Aiming II,Aim_AA_1,-0.05,,,,,,9,0.1,1,,,,,,,,,,,,,0.2,,,0.2,3,,0.2,,,,,,,,
,,1970,Computerised AA Aiming Systems,Computerised Aiming Systems,,AA Aiming III,Aim_AA_2,-0.04,,,,,,13,0.15000000000000002,2.5,0.05,,,,,,,,,,,,0.30000000000000004,,,0.25,4.2,,0.25,,,,1,,,,
,,1985,Advanced Computerised AA Aiming Systems,Advanced Computerised Aiming Systems,,AA Aiming IV,Aim_AA_3,-0.03,,,,,,17,0.2,3,0.1,,,,,,,,,,,,0.4,,,0.3,5.4,,0.3,,,,1,,,,
,,2005,Modern Computerised AA Aiming Systems,Modern Computerised Aiming Systems,,AA Aiming V,Aim_AA_4,-0.02,,,,,,21,0.25,3.5,0.15000000000000002,,,,,,,,,,,,0.5,,,0.35,6.6000000000000005,,0.35,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optics [DONE],1939,Basic Optic Sights,Base,,Sights I,Optics_0,-1%,,,5%,,5%,,,,,,-5%,,,,,,,,,,,,,,0.5,,0.15,,,,,,,,
,,1944,Sight With Optical Rangefinder,Sight With Optical Rangefinder,,Sights II,Optics_1,-0.02,,,0.1,,0.1,,,,0.05,,-2.5000000000000001E-2,,,,,,,,,,,,,,1,,0.25,,,,,,,,
,,1955,Stabilized Basic Sight,Stabilized Basic Sight,,Sights III,Optics_2,-0.02,,,2.5000000000000001E-2,,2.5000000000000001E-2,,0.05,,,,,,,,,,,,,,0.1,,,,1,,0.35,,,,,,,,
,,1965,Stabilized Sight With Optical Rangefinder,Stabilized Sight With Optical Rangefinder,,Sights IV,Optics_3,-0.03,,,0.125,,0.125,,7.5000000000000011E-2,,7.5000000000000011E-2,,-2.5000000000000001E-2,,,,,,,,,,0.15000000000000002,,,,2,,0.44999999999999996,,,,,,,,
,,1970,Sight With Laser Rangefinder,Sight With Laser Rangefinder,,Sights V,Optics_4,-0.04,,,0.17499999999999999,,0.17499999999999999,,0.1,,0.1,,,,,,,,,,,,0.2,,,,3.5,,0.54999999999999993,,,,1,,,,
,,1980,Advanced Sight With Laser Rangefinder,Advanced Sight With Laser Rangefinder,,Sights VI,Optics_5,-0.04,,,0.19999999999999998,,0.19999999999999998,,0.125,,0.125,,,,,,,,,,,,0.25,,,,4.25,,0.64999999999999991,,,,1,,,,
,,1990,Early Modern Sight With Laser Rangefinder,Early Modern Sight With Laser Rangefinder,,Sights VII,Optics_6,-0.04,,,0.22499999999999998,,0.22499999999999998,,0.15,,0.15,,,,,,,,,,,,0.3,,,,5,,0.74999999999999989,,,,1,,,,
,,2010,Advanced Sight With Laser Rangefinder,Advanced Sight With Laser Rangefinder,,Sights VIII,Optics_7,-0.04,,,0.24999999999999997,,0.24999999999999997,,0.17499999999999999,,0.17499999999999999,,,,,,,,,,,,0.35,,,,5.75,,0.84999999999999987,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commander Optics [DONE],1965,Early Panoramic Sight,Early Panoramic Sight,,Panoramic Sight I,Panoramic_Sight_0,,,,,,,1.5,0.03,1,0.03,,,,,,,0.5,,,,,0.05,,,,2,,0.1,,,,,,,,
,,1985,Advanced Panoramic Sight,Advanced Panoramic Sight,,Panoramic Sight II,Panoramic_Sight_1,,,,,,,3,0.06,2,0.06,,,,,,,1,,,,,0.1,,,,3,,0.15000000000000002,,,,,,,,
