country,resource,deposit,state_hint,weight,confidence,note
FRA,oil,Nord-Pas-de-Calais coalfield,Nord-Pas-de-Calais,180,H,principal French coalfield
FRA,oil,Lorraine coal basin,Lorraine,120,H,
FRA,oil,Massif Central coal,Auvergne,45,M,
FRA,oil,Loire coal basin,Rhône-Alpes,40,M,Saint-Etienne
FRA,steel,Briey-Longwy iron ore,Lorraine,260,H,dominant French iron basin
FRA,steel,Nord steel works,Nord-Pas-de-Calais,110,H,
FRA,steel,Le Creusot & Burgundy,Bourgogne,50,M,
FRA,steel,Pyrenean metallurgy,Midi-Pyrénées,40,M,
FRA,aluminium,Les Baux bauxite,Provence-Alpes-Côte d'Azur,140,H,bauxite is named for Les Baux
FRA,aluminium,Herault bauxite,Languedoc-Roussillon,80,H,
FRA,aluminium,Alpine aluminium smelters,Rhône-Alpes,90,H,hydro
FRA,aluminium,Pyrenean smelters,Midi-Pyrénées,40,M,
FRA,tungsten,Limousin gold and tungsten,Limousin,20,M,Salsigne area
FRA,chromium,New Caledonia laterite,New Caledonia,20,L,placeholder
WGR,oil,Ruhr coalfield,Nordrhein,300,H,largest coalfield in Europe
WGR,oil,Westphalian coal,Westfalen,180,H,
WGR,oil,Lower Saxony oil and coal,Niedersachsen,90,H,Nienhagen oilfield
WGR,steel,Ruhr steel,Nordrhein,320,H,Krupp Thyssen
WGR,steel,Westphalian steel,Westfalen,170,H,
WGR,steel,Salzgitter iron ore,Niedersachsen,120,H,
WGR,steel,Osnabruck ironworks,Osnabruck,45,M,
WGR,aluminium,Rhineland smelting,Nordrhein,40,M,
WGR,tungsten,minor,Westfalen,10,L,placeholder
DDR,oil,Central German lignite,Halle,180,H,Leuna and Bitterfeld
DDR,oil,Lusatian lignite,Cottbus,150,H,
DDR,oil,Leipzig lignite,Leipzig,110,H,
DDR,oil,Magdeburg lignite,Magdeburg,50,M,
DDR,chromium,Wismut Aue and Schlema,Karl-Marx-Stadt,180,H,principal Soviet-bloc uranium
DDR,chromium,Ronneburg uranium,Gera,120,H,
DDR,chromium,Erzgebirge uranium,Dresden,60,H,
DDR,steel,Eisenhuttenstadt,Frankfurt,70,H,EKO steelworks
DDR,steel,Erzgebirge ores,Karl-Marx-Stadt,60,H,
DDR,steel,Magdeburg heavy industry,Magdeburg,50,M,
DDR,aluminium,Bitterfeld aluminium,Halle,40,M,
DDR,tungsten,Erzgebirge tin and tungsten,Karl-Marx-Stadt,30,H,Altenberg
JAP,oil,Ishikari coalfield,Hokkaido,150,H,largest Japanese coalfield
JAP,oil,Chikuho coalfield,Fukuoka-Kitakyushu,140,H,
JAP,oil,Kyushu southern coal,Higrashi-Kyushu,70,H,
JAP,oil,Takashima and Hashima,Nagasaki,50,H,undersea coal
JAP,steel,Yawata steel works,Fukuoka-Kitakyushu,190,H,Japan's largest
JAP,steel,Keihanshin heavy industry,Keihanshin,110,H,
JAP,steel,Chukyo industry,Chukyo,80,H,Nagoya
JAP,steel,Muroran steel,Hokkaido,70,H,
JAP,steel,Hiroshima industry,Hiroshima,45,M,
JAP,aluminium,Japanese light metals,Keihanshin,40,M,
JAP,tungsten,Akenobe and Ikuno,Kita-Kansai,25,M,
SAF,tungsten,Witwatersrand main reef,Gauteng,420,H,largest goldfield on earth
SAF,tungsten,Free State goldfields,Free State,160,H,Welkom opened 1951
SAF,tungsten,Klerksdorp goldfield,North West,110,H,
SAF,tungsten,Barberton goldfield,Mpumalanga,60,H,
SAF,tungsten,Bushveld platinum,Limpopo,90,H,
SAF,chromium,Witwatersrand uranium from gold tailings,Gauteng,200,H,SA uranium is a gold byproduct
SAF,chromium,Free State uranium,Free State,60,H,
SAF,aluminium,Bushveld chromite,Limpopo,120,H,
SAF,aluminium,Rustenburg chrome,North West,90,H,
SAF,aluminium,Northern Cape base metals,Northern Cape,60,M,
SAF,steel,Kalahari manganese and Sishen iron,Northern Cape,90,H,
SAF,steel,Vereeniging and Pretoria steel,Gauteng,70,H,Iscor
SAF,steel,Transvaal ores,Mpumalanga,40,M,
DOC,chromium,Shinkolobwe uranium,Élisabethville,420,H,Katanga - Manhattan Project ore
DOC,chromium,Katanga secondary deposits,Lualaba,140,H,
DOC,steel,Katanga copper belt,Élisabethville,220,H,Union Miniere
DOC,steel,Kolwezi copper,Lualaba,150,H,
DOC,steel,Kipushi zinc-lead,Haut-Lomami,60,H,
DOC,aluminium,Katanga cobalt and zinc,Élisabethville,150,H,world's main cobalt source
DOC,aluminium,Kolwezi cobalt,Lualaba,90,H,
DOC,tungsten,Kasai industrial diamonds,Kasai,120,H,
DOC,tungsten,Maniema tin and coltan,Maniema,70,H,
DOC,tungsten,Katanga byproducts,Élisabethville,40,M,
CHL,steel,Chuquicamata copper,Antofagasta,300,H,largest copper mine on earth
CHL,steel,El Teniente copper,Santiago,160,H,
CHL,steel,Potrerillos copper,Atacama,110,H,
CHL,steel,Coquimbo iron ore,Coquimbo,60,H,El Romeral
CHL,aluminium,Atacama nitrate and iodine,Tarapaca,60,H,
CHL,oil,Magallanes gas,Magallanes,40,M,Manantiales 1945
AST,oil,Hunter Valley coal,New South Wales,200,H,Newcastle coalfield
AST,oil,Ipswich and Bowen coal,Queensland,90,H,
AST,oil,Latrobe Valley brown coal,Victoria,70,H,
AST,steel,Port Kembla and Newcastle steel,New South Wales,180,H,BHP
AST,steel,Iron Knob and Whyalla,South Australia,120,H,principal Australian iron ore
AST,steel,Mount Morgan copper,Queensland,50,H,
AST,aluminium,Mount Isa lead zinc silver,Queensland,190,H,
AST,aluminium,Broken Hill,New South Wales,150,H,world class lead-zinc
AST,aluminium,Rosebery and Mount Lyell,Tasmania,90,H,
AST,aluminium,Western Australian base metals,Western Australia,50,M,
AST,tungsten,Kalgoorlie Golden Mile,Western Australia,220,H,
AST,tungsten,Bendigo and Ballarat,Victoria,80,H,
AST,tungsten,Charters Towers gold,Queensland,60,H,
AST,tungsten,King Island scheelite,Tasmania,40,H,tungsten proper
AST,chromium,Rum Jungle uranium,Northern Territory,110,H,
AST,chromium,Radium Hill uranium,South Australia,90,H,
VEN,oil,Lake Maracaibo fields,Zulia,420,H,dominant Venezuelan field
VEN,oil,Eastern Venezuela basin,Anzoátegui,180,H,Oficina trend
VEN,oil,Falcon and Barinas,Falcón,70,H,
VEN,oil,Llanos fields,Llanos,50,M,
VEN,steel,Cerro Bolivar iron ore,Guayana,120,H,
VEN,aluminium,Guayana bauxite,Guayana,60,M,Los Pijiguaos later
CZE,oil,Ostrava-Karvina coalfield,Severomoravsky kraj,220,H,principal Czech coalfield
CZE,oil,North Bohemian lignite,Severocesky kraj,140,H,Most basin
CZE,oil,Kladno coal,Stredocesky kraj,50,M,
CZE,steel,Vitkovice and Trinec steel,Severomoravsky kraj,200,H,
CZE,steel,Podbrezova and Slovak ironworks,Stredné Slovensko,70,H,
CZE,steel,Kladno steel,Stredocesky kraj,60,H,
CZE,chromium,Jachymov uranium,Západocesky kraj,240,H,Erzgebirge - oldest uranium mine in the world
CZE,chromium,Pribram uranium,Stredocesky kraj,120,H,
CZE,chromium,Horni Slavkov,Západocesky kraj,60,M,
TUR,aluminium,Guleman chromite,Elazig,260,H,principal Turkish chromite
TUR,aluminium,Fethiye chromite,Mugla,120,H,
TUR,aluminium,Bursa chromite,Bursa,70,H,
TUR,aluminium,Antalya chromite,Antalya,50,M,
TUR,steel,Karabuk steelworks,Kastamonu,120,H,
TUR,steel,Divrigi iron ore,Sivas,100,H,
TUR,steel,Ergani copper,Elazig,70,H,
TUR,oil,Raman and Garzan fields,Batman,90,H,Turkey's only oil
RAJ,oil,Jharia coalfield,Jharkhand,240,H,India's principal coalfield
RAJ,oil,Raniganj coalfield,West Bengal,160,H,
RAJ,oil,Talcher and Odisha coal,Odisha,60,M,
RAJ,oil,Assam oilfields,Assam,70,H,Digboi
RAJ,steel,Jamshedpur TISCO,Jharkhand,200,H,India's largest steelworks
RAJ,steel,Burnpur and IISCO,West Bengal,110,H,
RAJ,steel,Odisha iron ore,Odisha,90,H,Barbil and Joda
RAJ,steel,Central Provinces manganese,Madhya Pradesh,90,H,India ~15% of world manganese
RAJ,steel,Bhilai and Chhattisgarh ore,Chhattisgarh,70,M,
RAJ,aluminium,Bihar and Odisha bauxite,Jharkhand,90,H,
RAJ,aluminium,Madhya Pradesh bauxite,Madhya Pradesh,60,M,
RAJ,aluminium,Rajasthan zinc and lead,Rajahsthan,50,M,Zawar
RAJ,chromium,Travancore monazite sands,Kerala,140,H,India's thorium
RAJ,chromium,Tamil Nadu beach sands,Tamil Nadu,60,H,
POL,oil,Upper Silesian coalfield,Katowickie,360,H,dominant Polish coalfield
POL,oil,Lower Silesian coal,Wroclawskie,90,H,Walbrzych
POL,oil,Krakow basin coal,Krakowskie,70,H,
POL,steel,Silesian steelworks,Katowickie,220,H,
POL,steel,Nowa Huta and Krakow,Krakowskie,90,M,built 1954
POL,steel,Czestochowa ore,Kieleckie,50,M,
POL,aluminium,Silesian zinc and lead,Katowickie,160,H,Bytom and Olkusz
POL,aluminium,Lower Silesian copper,Wroclawskie,40,L,Lubin not found until 1957
PRC,oil,Datong coalfield,Shanxi,240,H,principal Chinese coalfield
PRC,oil,Fushun coal,Liaoning,180,H,
PRC,oil,Kailuan and Tangshan coal,Hebei,150,H,
PRC,oil,Hegang and Jixi coal,Heilungkiang,90,H,
PRC,oil,Shandong coal,Shandong,70,M,
PRC,steel,Anshan steelworks,Liaoning,300,H,China's largest
PRC,steel,Benxi iron and steel,Liaoning,120,H,
PRC,steel,Shijiazhuang and Hebei,Hebei,70,M,
PRC,steel,Wuhan iron works,Wuhan,60,M,
PRC,aluminium,Manchurian light metals,Liaoning,80,M,
PRC,chromium,Manchurian uranium prospects,Liaoning,40,L,low confidence
PRC,chromium,Xilingol prospects,Xilingol,30,L,low confidence
GHA,tungsten,Obuasi Ashanti Goldfields,Ashanti,340,H,
GHA,tungsten,Tarkwa and Prestea gold,Cape Coast,180,H,
GHA,tungsten,Northern alluvial gold,Wa,40,M,
GHA,steel,Nsuta manganese,Cape Coast,120,H,major wartime manganese source
GHA,aluminium,Awaso bauxite,Ashanti,90,H,
MEX,aluminium,Pachuca silver,Hidalgo,140,H,historic silver district
MEX,aluminium,Zacatecas silver,Zacatecas,130,H,
MEX,aluminium,Parral and Chihuahua silver,Chihuahua,120,H,
MEX,aluminium,Durango lead zinc,Durango,90,H,
MEX,aluminium,San Luis Potosi smelting,San Luis Potosí,80,H,
MEX,aluminium,Guanajuato silver,Guanajuato,70,H,
MEX,tungsten,Sonora gold,Sonora,90,H,
MEX,tungsten,Guerrero gold,Guerrero,60,M,
MEX,tungsten,Chihuahua gold,Chihuahua,50,M,
MEX,steel,Monterrey Fundidora,Nuevo León,140,H,
MEX,steel,Coahuila coal and iron,Coahuila,90,H,
MEX,steel,Michoacan iron ore,Michoacán,50,M,
MEX,oil,Poza Rica oilfield,Veracruz,160,H,principal Mexican field
MEX,oil,Tampico and Golden Lane,Tamaulipas,90,H,
BRA,steel,Itabira iron ore,Minas Gerais,300,H,Vale do Rio Doce
BRA,steel,Volta Redonda steel,Rio de Janeiro,150,H,CSN
BRA,steel,Minas manganese,Minas Gerais,80,H,
BRA,steel,Amapa manganese,Amapa,50,M,Serra do Navio from 1957
BRA,tungsten,Morro Velho gold,Minas Gerais,180,H,deepest mine in the Americas
BRA,tungsten,Minas quartz beryl and mica,Minas Gerais,120,H,principal world source of industrial quartz
BRA,tungsten,Goias gold,Goiás,50,M,
BRA,aluminium,Minas bauxite,Minas Gerais,110,H,Pocos de Caldas
BRA,aluminium,Para bauxite,Pará,60,M,
BRA,chromium,Bahia monazite and uranium,Bahia,60,M,
BRA,oil,Reconcavo basin,Bahia,90,H,Lobato and Candeias
PHI,aluminium,Masinloc chromite,Zambales,260,H,largest refractory chromite deposit on earth
PHI,aluminium,Palawan nickel laterite,Palawan,110,H,
PHI,aluminium,Cebu copper,Central Visayas,70,M,
PHI,tungsten,Baguio and Benguet gold,Cordillera,240,H,
PHI,tungsten,Masbate and Mindanao gold,Mindanao,110,H,
PHI,tungsten,Panay alluvials,Panay,40,M,
PHI,chromium,Palawan prospects,Palawan,30,L,low confidence
PER,oil,Masjed Soleyman and Agha Jari,Ahvaz,320,H,Anglo-Iranian fields
PER,oil,Abadan refinery,Abadan,220,H,largest refinery in the world
PER,oil,Gachsaran and Hendijan,Hendijan,90,H,
PER,oil,Naft-e Shah,Ilam,50,M,
BOL,aluminium,Potosi tin and silver,Potosi,320,H,Bolivia ~17% of world tin
BOL,aluminium,Oruro and La Paz tin,La Paz,180,H,
BOL,aluminium,Cochabamba antimony,Cochabamba,60,M,
BOL,steel,Bolivian tungsten and bismuth,Potosi,80,H,
BOL,oil,Camiri oilfield,Santa Cruz,60,H,
ITA,steel,Genoa and Cornigliano steel,Liguria,140,H,
ITA,steel,Elba iron ore and Piombino,Toscana,110,H,
ITA,steel,Lombard engineering,Lombardia,80,M,
ITA,steel,Bagnoli steelworks,Campania,60,H,
ITA,aluminium,Monte Amiata mercury,Toscana,110,H,world's second mercury source
ITA,aluminium,Gargano bauxite,Puglia,90,H,
ITA,aluminium,Sardinian lead and zinc,Sardegna,120,H,Iglesiente
ITA,aluminium,Alpine aluminium smelting,Valle d'Aosta,60,M,
ITA,oil,Sicilian sulphur and Ragusa oil,Sicilia,90,H,
SAU,oil,Ghawar and Abqaiq,Al-Ahsa,320,H,largest oilfield on earth
SAU,oil,Dammam field,Dammam,180,H,first Saudi discovery
SAU,oil,Qatif field,Qatif,120,H,
SAU,oil,Ras Tanura and Jubail,Jubail,80,H,
SAU,steel,Arabian shield minerals,Madinah,40,L,low confidence
INO,aluminium,Bangka and Belitung tin,Riau,220,H,Indonesia ~12% of world tin
INO,aluminium,Bintan bauxite,Riau,120,H,
INO,aluminium,Sumatran base metals,Sumatera Barat,60,M,
INO,oil,Palembang oilfields,Djambi,180,H,South Sumatra
INO,oil,Aceh and North Sumatra oil,Aceh,90,H,
INO,steel,Sumatran coal,Sumatera Barat,60,M,Ombilin
BEL,steel,Liege and Charleroi steel,Wallonie,260,H,Sillon industriel
BEL,steel,Hainaut coal and steel,Hainaut,180,H,Borinage
BEL,steel,Flanders metalworking,Flanders,60,M,
BEL,oil,Campine coalfield,Flanders,90,H,
BEL,aluminium,Overpelt zinc,Flanders,60,H,Vieille Montagne
NOR,aluminium,Norwegian hydro aluminium,Hordaland,200,H,Ardal and Sunndal
NOR,aluminium,Rogaland smelting,Rogaland,120,H,
NOR,aluminium,Telemark ferroalloys,Telemark,80,H,Notodden and Rjukan
NOR,steel,Sydvaranger iron ore,Finnmark,140,H,Kirkenes
NOR,steel,Mo i Rana ironworks,Nordland,90,H,
NOR,tungsten,Norwegian molybdenum,Telemark,30,M,Knaben
SWE,steel,Kiruna and Malmberget iron ore,Norrbotten,320,H,Europe's richest iron ore
SWE,steel,Bergslagen iron and steel,Västmanland,140,H,
SWE,steel,Dalarna iron,Dalarna,90,H,Grangesberg
SWE,aluminium,Boliden copper and gold,Västernorrland,120,M,Vasterbotten absent - nearest state
SWE,aluminium,Ammeberg zinc,Örebro,70,M,
SWE,tungsten,Boliden gold,Norrbotten,60,M,
SPR,steel,Vizcaya iron ore and steel,Vascongadas,260,H,Bilbao
SPR,steel,Asturian coal and steel,Asturias,180,H,
SPR,steel,Catalan metalworking,Catalunya,70,M,
SPR,aluminium,Rio Tinto and Tharsis pyrites,Sevilla,220,H,principal world pyrite source
SPR,aluminium,Almaden mercury,La Mancha,180,H,largest mercury deposit on earth
SPR,aluminium,Cartagena lead and zinc,Murcia,90,H,
SPR,tungsten,Galician and Extremaduran tungsten,Galicia,90,H,wolfram
SPR,oil,Asturian coal,Asturias,120,H,
IRQ,oil,Kirkuk field,Kirkuk,340,H,Baba Gurgur
IRQ,oil,Mosul and Ain Zalah,Mosul,120,H,
IRQ,oil,Basrah and Zubair,Basrah,90,H,from 1949
IRQ,oil,Qayyarah heavy oil,Qayyarah,50,M,
KUW,oil,Burgan field,Al Kuwayt,400,H,second largest oilfield on earth
KUW,oil,Northern Kuwait,Jahra,120,H,
POR,tungsten,Panasqueira tungsten,Trás-os-Montes,180,H,principal European wolfram source
POR,tungsten,Beira wolfram,Litoral,90,H,
POR,chromium,Angolan and Mozambican prospects,Lunda,90,L,low confidence
POR,tungsten,Lunda diamonds,Lunda,140,H,Diamang
POR,steel,Angolan iron ore,Huila,90,H,Cassinga
POR,aluminium,Angolan base metals,Benguela,60,M,
POR,oil,Cabinda and Angolan coal,Cabinda,60,L,offshore oil not until 1966
SEN,aluminium,Guinean bauxite,Boke,260,H,world class bauxite
SEN,steel,Guinean iron ore,Conkary,120,H,Kaloum
SEN,tungsten,Siguiri and Kankan gold,Kankan,150,H,
SEN,tungsten,Ivorian gold,Yamoussoukro,60,M,
SEN,chromium,Niger uranium prospects,Agadez,120,M,Arlit found 1965 - early prospecting
SEN,oil,Nigerien coal,Agadez,40,L,low confidence
RCG,tungsten,Gabonese gold and manganese,Ivindo,90,M,
RCG,steel,Moanda manganese,Koulamoutou,140,H,among the world's largest
RCG,aluminium,Gabonese base metals,Ogooue,70,M,
RCG,chromium,Central African prospects,Haute-Kotto,60,L,low confidence
RCG,oil,Pointe-Noire coal and oil,Pointe-Noire,70,M,
CHI,steel,Jiangxi and Hunan tungsten,West Jiangxi,220,H,China led world tungsten output
CHI,steel,Hunan antimony,West Hunan,120,H,Xikuangshan
CHI,steel,Sichuan iron and coal,Chongqing,90,M,
CHI,aluminium,Gejiu tin,Yunnan,240,H,principal Chinese tin district
CHI,aluminium,Guangdong base metals,Guangdong,80,M,
CHI,tungsten,Shandong and southern gold,Guangdong,90,M,
CHI,tungsten,Yunnan byproducts,Yunnan,60,M,
CHI,oil,Yumen oilfield,Jiuquan,140,H,China's only significant oilfield
CHI,oil,Taiwan and Fujian coal,Taipei,70,M,
CHI,chromium,Xinjiang prospects,Urumqi,50,L,low confidence
